Player_name,Date_of_Birth,Position,Age,Place_of_Birth,Nation,Grip,Youth_Team,Height_cm,Height_ft,Weight_kg,Weight_lbs,Awards,Player_link
Sergei Belov,1982-09-27 00:00:00,G,40,"St. Petersburg, RUS",Russia,L,SKA St. Petersburg,180,"5'11""",78,172 lbs,"{""2009-2010"": [""Russia2 Silver Medal""], ""2013-2014"": [""VHL Silver Medal""]}",https://www.eliteprospects.com/player/19555/sergei-belov
Rafael Khakimov,1990-04-06 00:00:00,G,33,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,180,"5'11""",78,172 lbs,"{""2010-2011"": [""MHL All-Star Game"", ""MHL Best GAA  (1.79)"", ""MHL Best Goaltender"", ""MHL Goaltender of the Month  (February)"", ""MHL Goaltender of the Month  (September)""], ""2017-2018"": [""VHL Playoffs Best GAA  (1.39)""], ""2021-2022"": [""VHL Goaltender of the Month  (November)""]}",https://www.eliteprospects.com/player/47547/rafael-khakimov
Vadim Tarasov,1976-12-31 00:00:00,G,46,"Ust-Kamenogorsk, KAZ","Russia
    
            / 
            Kazakhstan",L,Torpedo Ust-Kamenogorsk,183,"6'0""",84,185 lbs,"{""1998-1999"": [""RSL Best Goaltender""], ""1999-2000"": [""RSL Best Goaltender""], ""2000-2001"": [""RSL Best Goaltender""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/11990/vadim-tarasov
Alexander Yeryomenko,1980-04-10 00:00:00,G,43,"Moskva, RUS",Russia,L,Dynamo Moskva,180,"5'11""",78,172 lbs,"{""2004-2005"": [""RSL Champion"", ""World Championship Bronze Medal""], ""2005-2006"": [""RSL Champion""], ""2006-2007"": [""World Championship Best GAA  (0.98)"", ""World Championship Best SVS%  (.957)"", ""World Championship Bronze Medal""], ""2007-2008"": [""RSL Champion"", ""World Championship Gold Medal""], ""2008-2009"": [""KHL All-Star Game"", ""KHL Goaltender of the Month  (September)"", ""World Championship Gold Medal""], ""2009-2010"": [""World Championship Silver Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""KHL Best Goaltender"", ""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Goaltender of the Month  (April)"", ""KHL Goaltender of the Month  (February)"", ""KHL Most Shutouts  (6)"", ""KHL Playoffs Most Shutouts  (3)"", ""KHL Playoffs MVP""], ""2012-2013"": [""KHL Best Goaltender"", ""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Goaltender of the Month  (October)"", ""KHL Playoffs Best GAA  (1.74)"", ""KHL Playoffs MVP""], ""2013-2014"": [""KHL All-Star Game  (Selected, did not play)""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Goaltender of the Week  (Sep. 28)""], ""2015-2016"": [""KHL Goaltender of the Month  (February)""], ""2016-2017"": [""KHL Best GAA  (1.29)"", ""KHL Goaltender of the Month  (December)"", ""KHL Goaltender of the Month  (January)"", ""KHL Goaltender of the Month  (February)"", ""KHL Goaltender of the Week  (Dec. 4)"", ""KHL Goaltender of the Week  (Feb. 19)"", ""KHL Most Shutouts  (9)""], ""2017-2018"": [""KHL Goaltender of the Week  (Sep. 4)""], ""2018-2019"": [""KHL Goaltender of the Week  (Dec. 3)""], ""2020-2021"": [""KHL Best SVS%  (.936)""], ""2021-2022"": [""KHL Faith Towards Hockey Award""]}",https://www.eliteprospects.com/player/12286/alexander-yeryomenko
Miroslav Blatak,1982-05-25 00:00:00,D,41,"Zlin, CZE",Czechia,L,HC Zlin,180,"5'11""",78,172 lbs,"{""2001-2002"": [""Czech Extraliga Bronze Medal"", ""U20 WJC Most Assists by Defenseman  (4)"", ""U20 WJC Most Goals by Defenseman  (3)"", ""U20 WJC Most Points by Defenseman  (7)""], ""2003-2004"": [""Czech Extraliga Champion""], ""2004-2005"": [""Czech Extraliga Silver Medal""], ""2005-2006"": [""Czech and Slovakian Extraliga All-Star Game  (Czech Extraliga)"", ""World Championship Silver Medal""], ""2007-2008"": [""RSL Champion""], ""2008-2009"": [""Champions Hockey League Best Plus/Minus  (+8)""], ""2009-2010"": [""World Championship Gold Medal""], ""2010-2011"": [""KHL Gagarin Cup Champion""], ""2011-2012"": [""World Championship Bronze Medal""], ""2013-2014"": [""KHL Nadezhda Cup""]}",https://www.eliteprospects.com/player/8421/miroslav-blatak
Mikhail Chernov,1978-11-11 00:00:00,D,44,"Prokopyevsk, RUS",Russia,R,Shakhter Prokopievsk,188,"6'2""",98,216 lbs,"{""1996-1997"": [""RSL Champion""], ""1997-1998"": [""U20 WJC Silver Medal""], ""2007-2008"": [""RSL Champion""]}",https://www.eliteprospects.com/player/18447/mikhail-chernov
Pavel Doronin,1988-08-21 00:00:00,D,34,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,183,"6'0""",80,176 lbs,"{""2007-2008"": [""RSL Champion"", ""U20 WJC Bronze Medal""], ""2011-2012"": [""VHL Champion""], ""2012-2013"": [""VHL Champion""], ""2013-2014"": [""VHL Defenseman of the Month  (March)""], ""2014-2015"": [""VHL Champion"", ""VHL Faith Towards Hockey Award""]}",https://www.eliteprospects.com/player/15169/pavel-doronin
Sergei Klimentyev,1975-04-05 00:00:00,D,48,"Havanna, CUB",Ukraine,L,Sokol Kiev,190,"6'3""",90,198 lbs,"{""1995-1996"": [""AHL Calder Cup Champion""], ""1998-1999"": [""AHL All-Star Game""], ""1999-2000"": [""World Championship (WCQ|A) Silver Medal""], ""2000-2001"": [""RSL Champion""], ""2005-2006"": [""RSL Champion""], ""2006-2007"": [""World Championship Most Penalized Player  (46)""], ""2007-2008"": [""World Championship (D1|B) Silver Medal""], ""2008-2009"": [""World Championship (D1|B) Silver Medal""], ""2009-2010"": [""World Championship (D1|A) Silver Medal""], ""2010-2011"": [""World Championship (D1|B) Bronze Medal""], ""2011-2012"": [""Ukraine First All-Star team""]}",https://www.eliteprospects.com/player/16737/sergei-klimentyev
Kirill Koltsov,1983-02-01 00:00:00,D,40,"Chelyabinsk, RUS",Russia,L,Traktor Chelyabinsk,178,"5'10""",90,198 lbs,"{""2000-2001"": [""U18 WJC All-Star Team"", ""U18 WJC Best Defenseman"", ""U18 WJC Gold Medal"", ""U18 WJC Most Assists by Defenseman  (6)"", ""U18 WJC Most Points by Defenseman  (7)""], ""2002-2003"": [""U20 WJC Gold Medal""], ""2005-2006"": [""World Championship Top 3 Player on Team""], ""2007-2008"": [""RSL Champion""], ""2010-2011"": [""KHL First All-Star Team"", ""KHL Gagarin Cup Champion"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2011-2012"": [""KHL All-Star Game"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2013-2014"": [""KHL All-Star Game"", ""KHL Best Defenseman"", ""KHL Most Assists by Defenseman  (24)"", ""KHL Most Points by Defenseman  (35)"", ""KHL Playoffs Most Assists by Defenseman  (9)""], ""2014-2015"": [""KHL All-Star Game"", ""KHL Best Defenseman"", ""KHL Defenseman of the Week  (Feb. 22)"", ""KHL Defenseman of the Week  (Nov. 23)"", ""KHL Most Goals by Defenseman  (18)"", ""KHL Most Points by Defenseman  (48)""], ""2016-2017"": [""KHL All-Star Game"", ""KHL Defenseman of the Week  (Dec. 11)""]}",https://www.eliteprospects.com/player/9567/kirill-koltsov
Yegor Kuptsov,1989-03-24 00:00:00,D,34,"Omsk, RUS",Russia,L,Spartakovets Yekaterinburg,188,"6'2""",92,203 lbs,{},https://www.eliteprospects.com/player/24193/yegor-kuptsov
